schedule_date,schedule_week,team_id_home,team_home,team_name_short_home,team_division_home,team_conference_home,logo_url_home,team_id_away,team_away,team_name_short_away,team_division_away,team_conference_away,logo_url_away,score_home,score_away,stadium,stadium_neutral,weather_temperature,weather_temperature_celsius,weather_wind_mph,weather_humidity,Flag_Victory,Flag_Defeat
2003-01-12,Division,TB,Tampa Bay Buccaneers,Buccaneers,NFC South,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,SF,San Francisco 49ers,49ers,NFC West,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,31.0,6.0,Raymond James Stadium,0,,,,,1,0
2003-01-19,Conference,PHI,Philadelphia Eagles,Eagles,NFC East,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,TB,Tampa Bay Buccaneers,Buccaneers,NFC South,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,10.0,27.0,Veterans Stadium,0,,,,,1,0
2003-01-26,Superbowl,LVR,Oakland Raiders,Raiders,AFC West,AFC,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,TB,Tampa Bay Buccaneers,Buccaneers,NFC South,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,21.0,48.0,Qualcomm Stadium,1,81.0,27.22222222222222,,,1,0
2006-01-07,Wildcard,TB,Tampa Bay Buccaneers,Buccaneers,NFC South,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,WAS,Washington Redskins,Washington,NFC East,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,10.0,17.0,Raymond James Stadium,0,,,,,0,1
2008-01-06,Wildcard,TB,Tampa Bay Buccaneers,Buccaneers,NFC South,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,NYG,New York Giants,Giants,NFC East,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,14.0,24.0,Raymond James Stadium,0,,,,,0,1
2021-01-09,Wildcard,WAS,Washington Football Team,Washington,NFC East,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,TB,Tampa Bay Buccaneers,Buccaneers,NFC South,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,23.0,31.0,FedEx Field,0,40.0,4.444444444444445,10.0,47.0,1,0
2021-01-17,Division,NO,New Orleans Saints,Saints,NFC South,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,TB,Tampa Bay Buccaneers,Buccaneers,NFC South,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,20.0,30.0,Mercedes-Benz Superdome,0,72.0,22.22222222222222,0.0,,1,0
2021-01-24,Conference,GB,Green Bay Packers,Packers,NFC North,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,TB,Tampa Bay Buccaneers,Buccaneers,NFC South,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,26.0,31.0,Lambeau Field,0,29.0,-1.6666666666666665,10.0,75.0,1,0
2021-02-07,Superbowl,TB,Tampa Bay Buccaneers,Buccaneers,NFC South,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,KC,Kansas City Chiefs,Chiefs,AFC West,AFC,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,31.0,9.0,Raymond James Stadium,0,63.0,17.22222222222222,9.0,78.0,1,0
2022-01-16,Wildcard,TB,Tampa Bay Buccaneers,Buccaneers,NFC South,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,PHI,Philadelphia Eagles,Eagles,NFC East,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,31.0,15.0,Raymond James Stadium,0,66.0,18.88888888888889,21.0,52.0,1,0
2022-01-23,Division,TB,Tampa Bay Buccaneers,Buccaneers,NFC South,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,LAR,Los Angeles Rams,Rams,NFC West,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,27.0,30.0,Raymond James Stadium,0,50.0,10.0,11.0,69.0,0,1
2023-01-16,Wildcard,TB,Tampa Bay Buccaneers,Buccaneers,NFC South,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,DAL,Dallas Cowboys,Cowboys,NFC East,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,14.0,31.0,Raymond James Stadium,0,58.0,14.444444444444445,2.0,42.0,0,1
2024-01-15,Wildcard,TB,Tampa Bay Buccaneers,Buccaneers,NFC South,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,PHI,Philadelphia Eagles,Eagles,NFC East,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,32.0,9.0,Raymond James Stadium,0,65.0,18.333333333333332,2.0,90.0,1,0
2024-01-21,Division,DET,Detroit Lions,Lions,NFC North,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,TB,Tampa Bay Buccaneers,Buccaneers,NFC South,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,31.0,23.0,Ford Field,0,72.0,22.22222222222222,0.0,,0,1
2025-01-12,Wildcard,TB,Tampa Bay Buccaneers,Buccaneers,NFC South,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,WAS,Washington Commanders,Washington,NFC East,NFC,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,20.0,23.0,Raymond James Stadium,0,58.0,14.444444444444445,2.0,57.0,0,1
